 v_i  u  x  Error 
nan 8.99946e-05 9.9999e-06 nan
nan 0.000179979 1.99998e-05 nan
nan 0.000269954 2.99997e-05 nan
nan 0.000359918 3.99996e-05 nan
nan 0.000449873 4.99995e-05 nan
nan 0.000539817 5.99994e-05 nan
nan 0.000629752 6.99993e-05 nan
nan 0.000719677 7.99992e-05 nan
nan 0.000809591 8.99991e-05 nan
nan 0.000899496 9.9999e-05 nan
nan 0.00098939 0.000109999 nan
nan 0.00107927 0.000119999 nan
nan 0.00116915 0.000129999 nan
nan 0.00125901 0.000139999 nan
nan 0.00134887 0.000149999 nan
nan 0.00143871 0.000159998 nan
nan 0.00152855 0.000169998 nan
nan 0.00161837 0.000179998 nan
nan 0.00170819 0.000189998 nan
nan 0.00179799 0.000199998 nan
nan 0.00188779 0.000209998 nan
nan 0.00197757 0.000219998 nan
nan 0.00206735 0.000229998 nan
nan 0.00215711 0.000239998 nan
nan 0.00224687 0.000249998 nan
nan 0.00233661 0.000259997 nan
nan 0.00242635 0.000269997 nan
nan 0.00251607 0.000279997 nan
nan 0.00260579 0.000289997 nan
nan 0.00269549 0.000299997 nan
nan 0.00278519 0.000309997 nan
nan 0.00287487 0.000319997 nan
nan 0.00296455 0.000329997 nan
nan 0.00305421 0.000339997 nan
nan 0.00314387 0.000349997 nan
nan 0.00323351 0.000359996 nan
nan 0.00332315 0.000369996 nan
nan 0.00341277 0.000379996 nan
nan 0.00350239 0.000389996 nan
nan 0.00359199 0.000399996 nan
nan 0.00368159 0.000409996 nan
nan 0.00377117 0.000419996 nan
nan 0.00386075 0.000429996 nan
nan 0.00395031 0.000439996 nan
nan 0.00403987 0.000449996 nan
nan 0.00412942 0.000459995 nan
nan 0.00421895 0.000469995 nan
nan 0.00430848 0.000479995 nan
nan 0.00439799 0.000489995 nan
nan 0.0044875 0.000499995 nan
nan 0.00457699 0.000509995 nan
nan 0.00466648 0.000519995 nan
nan 0.00475596 0.000529995 nan
nan 0.00484542 0.000539995 nan
nan 0.00493488 0.000549995 nan
nan 0.00502432 0.000559994 nan
nan 0.00511376 0.000569994 nan
nan 0.00520319 0.000579994 nan
nan 0.0052926 0.000589994 nan
nan 0.00538201 0.000599994 nan
nan 0.00547141 0.000609994 nan
nan 0.00556079 0.000619994 nan
nan 0.00565017 0.000629994 nan
nan 0.00573954 0.000639994 nan
nan 0.00582889 0.000649994 nan
nan 0.00591824 0.000659993 nan
nan 0.00600758 0.000669993 nan
nan 0.0060969 0.000679993 nan
nan 0.00618622 0.000689993 nan
nan 0.00627553 0.000699993 nan
nan 0.00636482 0.000709993 nan
nan 0.00645411 0.000719993 nan
nan 0.00654339 0.000729993 nan
nan 0.00663265 0.000739993 nan
nan 0.00672191 0.000749993 nan
nan 0.00681116 0.000759992 nan
nan 0.0069004 0.000769992 nan
nan 0.00698962 0.000779992 nan
nan 0.00707884 0.000789992 nan
nan 0.00716805 0.000799992 nan
nan 0.00725725 0.000809992 nan
nan 0.00734644 0.000819992 nan
nan 0.00743561 0.000829992 nan
nan 0.00752478 0.000839992 nan
nan 0.00761394 0.000849992 nan
nan 0.00770309 0.000859991 nan
nan 0.00779223 0.000869991 nan
nan 0.00788135 0.000879991 nan
nan 0.00797047 0.000889991 nan
nan 0.00805958 0.000899991 nan
nan 0.00814868 0.000909991 nan
nan 0.00823777 0.000919991 nan
nan 0.00832685 0.000929991 nan
nan 0.00841592 0.000939991 nan
nan 0.00850498 0.000949991 nan
nan 0.00859403 0.00095999 nan
nan 0.00868306 0.00096999 nan
nan 0.00877209 0.00097999 nan
nan 0.00886111 0.00098999 nan
nan 0.00895012 0.00099999 nan
nan 0.00903912 0.00100999 nan
nan 0.00912811 0.00101999 nan
nan 0.00921709 0.00102999 nan
nan 0.00930606 0.00103999 nan
nan 0.00939502 0.00104999 nan
nan 0.00948397 0.00105999 nan
nan 0.00957291 0.00106999 nan
nan 0.00966184 0.00107999 nan
nan 0.00975076 0.00108999 nan
nan 0.00983967 0.00109999 nan
nan 0.00992857 0.00110999 nan
nan 0.0100175 0.00111999 nan
nan 0.0101063 0.00112999 nan
nan 0.0101952 0.00113999 nan
nan 0.0102841 0.00114999 nan
nan 0.0103729 0.00115999 nan
nan 0.0104618 0.00116999 nan
nan 0.0105506 0.00117999 nan
nan 0.0106394 0.00118999 nan
nan 0.0107282 0.00119999 nan
nan 0.010817 0.00120999 nan
nan 0.0109058 0.00121999 nan
nan 0.0109946 0.00122999 nan
nan 0.0110834 0.00123999 nan
nan 0.0111721 0.00124999 nan
nan 0.0112609 0.00125999 nan
nan 0.0113496 0.00126999 nan
nan 0.0114384 0.00127999 nan
nan 0.0115271 0.00128999 nan
nan 0.0116158 0.00129999 nan
nan 0.0117045 0.00130999 nan
nan 0.0117932 0.00131999 nan
nan 0.0118819 0.00132999 nan
nan 0.0119706 0.00133999 nan
nan 0.0120592 0.00134999 nan
nan 0.0121479 0.00135999 nan
nan 0.0122365 0.00136999 nan
nan 0.0123252 0.00137999 nan
nan 0.0124138 0.00138999 nan
nan 0.0125024 0.00139999 nan
nan 0.012591 0.00140999 nan
nan 0.0126796 0.00141999 nan
nan 0.0127682 0.00142999 nan
nan 0.0128568 0.00143999 nan
nan 0.0129453 0.00144999 nan
nan 0.0130339 0.00145999 nan
nan 0.0131224 0.00146999 nan
nan 0.013211 0.00147999 nan
nan 0.0132995 0.00148999 nan
nan 0.013388 0.00149999 nan
nan 0.0134765 0.00150998 nan
nan 0.013565 0.00151998 nan
nan 0.0136535 0.00152998 nan
nan 0.013742 0.00153998 nan
nan 0.0138304 0.00154998 nan
nan 0.0139189 0.00155998 nan
nan 0.0140073 0.00156998 nan
nan 0.0140958 0.00157998 nan
nan 0.0141842 0.00158998 nan
nan 0.0142726 0.00159998 nan
nan 0.014361 0.00160998 nan
nan 0.0144494 0.00161998 nan
nan 0.0145378 0.00162998 nan
nan 0.0146262 0.00163998 nan
nan 0.0147145 0.00164998 nan
nan 0.0148029 0.00165998 nan
nan 0.0148913 0.00166998 nan
nan 0.0149796 0.00167998 nan
nan 0.0150679 0.00168998 nan
nan 0.0151562 0.00169998 nan
nan 0.0152446 0.00170998 nan
nan 0.0153329 0.00171998 nan
nan 0.0154211 0.00172998 nan
nan 0.0155094 0.00173998 nan
nan 0.0155977 0.00174998 nan
nan 0.0156859 0.00175998 nan
nan 0.0157742 0.00176998 nan
nan 0.0158624 0.00177998 nan
nan 0.0159507 0.00178998 nan
nan 0.0160389 0.00179998 nan
nan 0.0161271 0.00180998 nan
nan 0.0162153 0.00181998 nan
nan 0.0163035 0.00182998 nan
nan 0.0163917 0.00183998 nan
nan 0.0164798 0.00184998 nan
nan 0.016568 0.00185998 nan
nan 0.0166562 0.00186998 nan
nan 0.0167443 0.00187998 nan
nan 0.0168324 0.00188998 nan
nan 0.0169206 0.00189998 nan
nan 0.0170087 0.00190998 nan
nan 0.0170968 0.00191998 nan
nan 0.0171849 0.00192998 nan
nan 0.0172729 0.00193998 nan
nan 0.017361 0.00194998 nan
nan 0.0174491 0.00195998 nan
nan 0.0175371 0.00196998 nan
nan 0.0176252 0.00197998 nan
nan 0.0177132 0.00198998 nan
nan 0.0178012 0.00199998 nan
nan 0.0178893 0.00200998 nan
nan 0.0179773 0.00201998 nan
nan 0.0180653 0.00202998 nan
nan 0.0181532 0.00203998 nan
nan 0.0182412 0.00204998 nan
nan 0.0183292 0.00205998 nan
nan 0.0184171 0.00206998 nan
nan 0.0185051 0.00207998 nan
nan 0.018593 0.00208998 nan
nan 0.0186809 0.00209998 nan
nan 0.0187689 0.00210998 nan
nan 0.0188568 0.00211998 nan
nan 0.0189447 0.00212998 nan
nan 0.0190326 0.00213998 nan
nan 0.0191204 0.00214998 nan
nan 0.0192083 0.00215998 nan
nan 0.0192962 0.00216998 nan
nan 0.019384 0.00217998 nan
nan 0.0194718 0.00218998 nan
nan 0.0195597 0.00219998 nan
nan 0.0196475 0.00220998 nan
nan 0.0197353 0.00221998 nan
nan 0.0198231 0.00222998 nan
nan 0.0199109 0.00223998 nan
nan 0.0199987 0.00224998 nan
nan 0.0200864 0.00225998 nan
nan 0.0201742 0.00226998 nan
nan 0.0202619 0.00227998 nan
nan 0.0203497 0.00228998 nan
nan 0.0204374 0.00229998 nan
nan 0.0205251 0.00230998 nan
nan 0.0206129 0.00231998 nan
nan 0.0207006 0.00232998 nan
nan 0.0207882 0.00233998 nan
nan 0.0208759 0.00234998 nan
nan 0.0209636 0.00235998 nan
nan 0.0210513 0.00236998 nan
nan 0.0211389 0.00237998 nan
nan 0.0212266 0.00238998 nan
nan 0.0213142 0.00239998 nan
nan 0.0214018 0.00240998 nan
nan 0.0214894 0.00241998 nan
nan 0.021577 0.00242998 nan
nan 0.0216646 0.00243998 nan
nan 0.0217522 0.00244998 nan
nan 0.0218398 0.00245998 nan
nan 0.0219273 0.00246998 nan
nan 0.0220149 0.00247998 nan
nan 0.0221024 0.00248998 nan
nan 0.02219 0.00249998 nan
nan 0.0222775 0.00250997 nan
nan 0.022365 0.00251997 nan
nan 0.0224525 0.00252997 nan
nan 0.02254 0.00253997 nan
nan 0.0226275 0.00254997 nan
nan 0.022715 0.00255997 nan
nan 0.0228025 0.00256997 nan
nan 0.0228899 0.00257997 nan
nan 0.0229774 0.00258997 nan
nan 0.0230648 0.00259997 nan
nan 0.0231522 0.00260997 nan
nan 0.0232396 0.00261997 nan
nan 0.0233271 0.00262997 nan
nan 0.0234145 0.00263997 nan
nan 0.0235018 0.00264997 nan
nan 0.0235892 0.00265997 nan
nan 0.0236766 0.00266997 nan
nan 0.023764 0.00267997 nan
nan 0.0238513 0.00268997 nan
nan 0.0239386 0.00269997 nan
nan 0.024026 0.00270997 nan
nan 0.0241133 0.00271997 nan
nan 0.0242006 0.00272997 nan
nan 0.0242879 0.00273997 nan
nan 0.0243752 0.00274997 nan
nan 0.0244625 0.00275997 nan
nan 0.0245498 0.00276997 nan
nan 0.024637 0.00277997 nan
nan 0.0247243 0.00278997 nan
nan 0.0248115 0.00279997 nan
nan 0.0248987 0.00280997 nan
nan 0.024986 0.00281997 nan
nan 0.0250732 0.00282997 nan
nan 0.0251604 0.00283997 nan
nan 0.0252476 0.00284997 nan
nan 0.0253348 0.00285997 nan
nan 0.0254219 0.00286997 nan
nan 0.0255091 0.00287997 nan
nan 0.0255963 0.00288997 nan
nan 0.0256834 0.00289997 nan
nan 0.0257706 0.00290997 nan
nan 0.0258577 0.00291997 nan
nan 0.0259448 0.00292997 nan
nan 0.0260319 0.00293997 nan
nan 0.026119 0.00294997 nan
nan 0.0262061 0.00295997 nan
nan 0.0262932 0.00296997 nan
nan 0.0263802 0.00297997 nan
nan 0.0264673 0.00298997 nan
nan 0.0265543 0.00299997 nan
nan 0.0266414 0.00300997 nan
nan 0.0267284 0.00301997 nan
nan 0.0268154 0.00302997 nan
nan 0.0269024 0.00303997 nan
nan 0.0269894 0.00304997 nan
